source,predicate,target
P03,belongs_to_layer,RL_Q_Learning
P03,uses_formula_family,Formula-P
P03,requires_dataset_family,DS-P
P03,requires_dataset_family,DS-E
P-Series,has_model,P04
P04,belongs_to_layer,RL_Q_Learning
P04,uses_formula_family,Formula-P
P04,requires_dataset_family,DS-P
P04,requires_dataset_family,DS-E
P-Series,has_model,P05
P05,belongs_to_layer,RL_Q_Learning
P05,uses_formula_family,Formula-P
P05,requires_dataset_family,DS-P
P05,requires_dataset_family,DS-E
P-Series,has_model,P06
P06,belongs_to_layer,RL_Q_Learning
P06,uses_formula_family,Formula-P
P06,requires_dataset_family,DS-P
P06,requires_dataset_family,DS-E
P-Series,has_model,P07
P07,belongs_to_layer,RL_Q_Learning
P07,uses_formula_family,Formula-P
P07,requires_dataset_family,DS-P
P07,requires_dataset_family,DS-E
P07,implements_rd,RD-Map
P-Series,has_model,P08
P08,belongs_to_layer,RL_Q_Learning
P08,uses_formula_family,Formula-P
P08,requires_dataset_family,DS-P
P08,requires_dataset_family,DS-E
P08,feeds_into,P03
P08,feeds_into,G12
K-Series,has_model,K01
K01,belongs_to_layer,RL_Q_Learning
K01,uses_formula_family,Formula-K
K01,requires_dataset_family,DS-P
K01,feeds_into,K04
K01,feeds_into,K03
K-Series,has_model,K02
K02,belongs_to_layer,RL_Q_Learning
K02,uses_formula_family,Formula-K
K02,requires_dataset_family,DS-P
K-Series,has_model,K03
K03,belongs_to_layer,RL_Q_Learning
K03,uses_formula_family,Formula-K
K03,requires_dataset_family,DS-P
K-Series,has_model,K04
K04,belongs_to_layer,RL_Q_Learning
K04,uses_formula_family,Formula-K
K04,requires_dataset_family,DS-P
K04,feeds_into,C01
K-Series,has_model,K05
K05,belongs_to_layer,RL_Q_Learning
K05,uses_formula_family,Formula-K
K05,requires_dataset_family,DS-P
F-Series,has_model,F01
F01,belongs_to_layer,AI_ML
F01,uses_formula_family,Formula-F
F01,requires_dataset_family,DS-A
F01,feeds_into,B09
F01,feeds_into,O01
F01,feeds_into,L10
F-Series,has_model,F02
F02,belongs_to_layer,AI_ML
F02,uses_formula_family,Formula-F
F02,requires_dataset_family,DS-A
F-Series,has_model,F03
F03,belongs_to_layer,AI_ML
F03,uses_formula_family,Formula-F
F03,requires_dataset_family,DS-A
F03,feeds_into,F01
F-Series,has_model,F04
F04,belongs_to_layer,AI_ML
F04,uses_formula_family,Formula-F
F04,requires_dataset_family,DS-A
F-Series,has_model,F05
F05,belongs_to_layer,AI_ML
F05,uses_formula_family,Formula-F
F05,requires_dataset_family,DS-A
F-Series,has_model,F06
F06,belongs_to_layer,AI_ML
F06,uses_formula_family,Formula-F
F06,requires_dataset_family,DS-A
W-Series,feeds_series,T-Series
W-Series,feeds_series,R-Series
W-Series,feeds_series,L-Series
W-Series,feeds_series,G-Series
W-Series,feeds_series,C-Series
O-Series,feeds_series,T-Series
O-Series,feeds_series,L-Series
O-Series,feeds_series,C-Series
O-Series,feeds_series,B-Series
M-Series,feeds_series,C-Series
M-Series,feeds_series,P-Series
M-Series,feeds_series,K-Series
L-Series,feeds_series,C-Series
L-Series,feeds_series,G-Series
L-Series,feeds_series,P-Series
R-Series,feeds_series,L-Series
R-Series,feeds_series,B-Series
R-Series,feeds_series,G-Series
R-Series,feeds_series,C-Series
R-Series,feeds_series,K-Series
T-Series,feeds_series,C-Series
T-Series,feeds_series,L-Series
T-Series,feeds_series,K-Series
B-Series,feeds_series,C-Series
B-Series,feeds_series,G-Series
B-Series,feeds_series,P-Series
G-Series,feeds_series,C-Series
G-Series,feeds_series,P-Series
C-Series,feeds_series,P-Series
C-Series,feeds_series,K-Series
C-Series,feeds_series,B-Series
C-Series,feeds_series,T-Series
D-Series,feeds_series,W-Series
D-Series,feeds_series,O-Series
D-Series,feeds_series,L-Series
D-Series,feeds_series,T-Series
D-Series,feeds_series,B-Series
P-Series,feeds_series,C-Series
P-Series,feeds_series,K-Series
K-Series,feeds_series,C-Series
K-Series,feeds_series,P-Series
F-Series,feeds_series,B-Series
F-Series,feeds_series,O-Series
F-Series,feeds_series,T-Series
F-Series,feeds_series,D-Series
Asset-Temperature-sensors-room-flow-return,measured_by_or_feeds,T01
T01,uses_asset,Asset-Temperature-sensors-room-flow-return
Asset-Temperature-sensors-room-flow-return,measured_by_or_feeds,W02
W02,uses_asset,Asset-Temperature-sensors-room-flow-return
Asset-Temperature-sensors-room-flow-return,measured_by_or_feeds,D01
D01,uses_asset,Asset-Temperature-sensors-room-flow-return
Asset-Relative-humidity-sensors,measured_by_or_feeds,W06
W06,uses_asset,Asset-Relative-humidity-sensors
Asset-Relative-humidity-sensors,measured_by_or_feeds,O09
O09,uses_asset,Asset-Relative-humidity-sensors
Asset-Relative-humidity-sensors,measured_by_or_feeds,D01
D01,uses_asset,Asset-Relative-humidity-sensors
Asset-CO-sensors,measured_by_or_feeds,O01
O01,uses_asset,Asset-CO-sensors
Asset-CO-sensors,measured_by_or_feeds,D04
D04,uses_asset,Asset-CO-sensors
Asset-Whole-house-smart-meter,measured_by_or_feeds,L01
L01,uses_asset,Asset-Whole-house-smart-meter
Asset-Whole-house-smart-meter,measured_by_or_feeds,L02
L02,uses_asset,Asset-Whole-house-smart-meter
Asset-Whole-house-smart-meter,measured_by_or_feeds,D05
D05,uses_asset,Asset-Whole-house-smart-meter
Asset-Electrical-submeters,measured_by_or_feeds,L02
L02,uses_asset,Asset-Electrical-submeters
Asset-Electrical-submeters,measured_by_or_feeds,L04
L04,uses_asset,Asset-Electrical-submeters
Asset-Electrical-submeters,measured_by_or_feeds,D05
D05,uses_asset,Asset-Electrical-submeters
Asset-PV-inverter,measured_by_or_feeds,R01
R01,uses_asset,Asset-PV-inverter
Asset-PV-inverter,measured_by_or_feeds,R05
R05,uses_asset,Asset-PV-inverter
Asset-PV-inverter,measured_by_or_feeds,G05
G05,uses_asset,Asset-PV-inverter
Asset-Battery-storage,measured_by_or_feeds,B01
B01,uses_asset,Asset-Battery-storage
Asset-Battery-storage,measured_by_or_feeds,B02
B02,uses_asset,Asset-Battery-storage
Asset-Battery-storage,measured_by_or_feeds,B07
B07,uses_asset,Asset-Battery-storage
Asset-Battery-storage,measured_by_or_feeds,B08
B08,uses_asset,Asset-Battery-storage
Asset-EV-charger-smart-V2G,measured_by_or_feeds,B03
B03,uses_asset,Asset-EV-charger-smart-V2G
Asset-EV-charger-smart-V2G,measured_by_or_feeds,B04
B04,uses_asset,Asset-EV-charger-smart-V2G
Asset-EV-charger-smart-V2G,measured_by_or_feeds,B05
B05,uses_asset,Asset-EV-charger-smart-V2G
Asset-EV-charger-smart-V2G,measured_by_or_feeds,L07
L07,uses_asset,Asset-EV-charger-smart-V2G
Asset-Heat-pump-ASHP-GSHP,measured_by_or_feeds,T02
T02,uses_asset,Asset-Heat-pump-ASHP-GSHP
Asset-Heat-pump-ASHP-GSHP,measured_by_or_feeds,T03
T03,uses_asset,Asset-Heat-pump-ASHP-GSHP
Asset-Heat-pump-ASHP-GSHP,measured_by_or_feeds,L03
L03,uses_asset,Asset-Heat-pump-ASHP-GSHP
Asset-PCM-storage-small-scale,measured_by_or_feeds,T07
T07,uses_asset,Asset-PCM-storage-small-scale
Asset-PCM-storage-small-scale,measured_by_or_feeds,B10
B10,uses_asset,Asset-PCM-storage-small-scale
Asset-Weather-nowcast-ensemble-forecasts,measured_by_or_feeds,W14
W14,uses_asset,Asset-Weather-nowcast-ensemble-forecasts
Asset-Weather-nowcast-ensemble-forecasts,measured_by_or_feeds,W15
W15,uses_asset,Asset-Weather-nowcast-ensemble-forecasts
Asset-Weather-nowcast-ensemble-forecasts,measured_by_or_feeds,W16
W16,uses_asset,Asset-Weather-nowcast-ensemble-forecasts
Asset-Occupant-preferences-override-app,measured_by_or_feeds,O15
O15,uses_asset,Asset-Occupant-preferences-override-app
Asset-Occupant-preferences-override-app,measured_by_or_feeds,O03
O03,uses_asset,Asset-Occupant-preferences-override-app
Asset-Occupant-preferences-override-app,measured_by_or_feeds,C10
C10,uses_asset,Asset-Occupant-preferences-override-app
Asset-Dynamic-tariff-grid-signals,measured_by_or_feeds,M04
M04,uses_asset,Asset-Dynamic-tariff-grid-signals
Asset-Dynamic-tariff-grid-signals,measured_by_or_feeds,M05
M05,uses_asset,Asset-Dynamic-tariff-grid-signals
Asset-Dynamic-tariff-grid-signals,measured_by_or_feeds,O10
O10,uses_asset,Asset-Dynamic-tariff-grid-signals
Asset-Carbon-intensity-signals,measured_by_or_feeds,M08
M08,uses_asset,Asset-Carbon-intensity-signals
Asset-Carbon-intensity-signals,measured_by_or_feeds,K01
K01,uses_asset,Asset-Carbon-intensity-signals
Asset-Carbon-intensity-signals,measured_by_or_feeds,K04
K04,uses_asset,Asset-Carbon-intensity-signals
