source,predicate,target
P03,belongs_to_layer,RL_Q_Learning
P03,uses_formula_family,Formula-P
P03,requires_dataset_family,DS-P
P03,requires_dataset_family,DS-E
P-Series,has_model,P04
P04,belongs_to_layer,RL_Q_Learning
P04,uses_formula_family,Formula-P
P04,requires_dataset_family,DS-P
P04,requires_dataset_family,DS-E
P-Series,has_model,P05
P05,belongs_to_layer,RL_Q_Learning
P05,uses_formula_family,Formula-P
P05,requires_dataset_family,DS-P
P05,requires_dataset_family,DS-E
P-Series,has_model,P06
P06,belongs_to_layer,RL_Q_Learning
P06,uses_formula_family,Formula-P
P06,requires_dataset_family,DS-P
P06,requires_dataset_family,DS-E
P-Series,has_model,P07
P07,belongs_to_layer,RL_Q_Learning
P07,uses_formula_family,Formula-P
P07,requires_dataset_family,DS-P
P07,requires_dataset_family,DS-E
P07,implements_rd,RD-Map
P-Series,has_model,P08
P08,belongs_to_layer,RL_Q_Learning
P08,uses_formula_family,Formula-P
P08,requires_dataset_family,DS-P
P08,requires_dataset_family,DS-E
P08,feeds_into,P03
P08,feeds_into,G12
K-Series,has_model,K01
K01,belongs_to_layer,RL_Q_Learning
K01,uses_formula_family,Formula-K
K01,requires_dataset_family,DS-P
K01,feeds_into,K04
K01,feeds_into,K03
K-Series,has_model,K02
K02,belongs_to_layer,RL_Q_Learning
K02,uses_formula_family,Formula-K
K02,requires_dataset_family,DS-P
K-Series,has_model,K03
K03,belongs_to_layer,RL_Q_Learning
K03,uses_formula_family,Formula-K
K03,requires_dataset_family,DS-P
K-Series,has_model,K04
K04,belongs_to_layer,RL_Q_Learning
K04,uses_formula_family,Formula-K
K04,requires_dataset_family,DS-P
K04,feeds_into,C01
K-Series,has_model,K05
K05,belongs_to_layer,RL_Q_Learning
K05,uses_formula_family,Formula-K
K05,requires_dataset_family,DS-P
F-Series,has_model,F01
F01,belongs_to_layer,AI_ML
F01,uses_formula_family,Formula-F
F01,requires_dataset_family,DS-A
F01,feeds_into,B09
F01,feeds_into,O01
F01,feeds_into,L10
F-Series,has_model,F02
F02,belongs_to_layer,AI_ML
F02,uses_formula_family,Formula-F
F02,requires_dataset_family,DS-A
F-Series,has_model,F03
F03,belongs_to_layer,AI_ML
F03,uses_formula_family,Formula-F
F03,requires_dataset_family,DS-A
F03,feeds_into,F01
F-Series,has_model,F04
F04,belongs_to_layer,AI_ML
F04,uses_formula_family,Formula-F
F04,requires_dataset_family,DS-A
F-Series,has_model,F05
F05,belongs_to_layer,AI_ML
F05,uses_formula_family,Formula-F
F05,requires_dataset_family,DS-A
F-Series,has_model,F06
F06,belongs_to_layer,AI_ML
F06,uses_formula_family,Formula-F
F06,requires_dataset_family,DS-A
W-Series,feeds_series,T-Series
W-Series,feeds_series,R-Series
W-Series,feeds_series,L-Series
W-Series,feeds_series,G-Series
W-Series,feeds_series,C-Series
O-Series,feeds_series,T-Series
O-Series,feeds_series,L-Series
O-Series,feeds_series,C-Series
O-Series,feeds_series,B-Series
M-Series,feeds_series,C-Series
M-Series,feeds_series,P-Series
M-Series,feeds_series,K-Series
L-Series,feeds_series,C-Series
L-Series,feeds_series,G-Series
L-Series,feeds_series,P-Series
R-Series,feeds_series,L-Series
R-Series,feeds_series,B-Series
R-Series,feeds_series,G-Series
R-Series,feeds_series,C-Series
R-Series,feeds_series,K-Series
T-Series,feeds_series,C-Series
T-Series,feeds_series,L-Series
T-Series,feeds_series,K-Series
B-Series,feeds_series,C-Series
B-Series,feeds_series,G-Series
B-Series,feeds_series,P-Series
G-Series,feeds_series,C-Series
G-Series,feeds_series,P-Series
C-Series,feeds_series,P-Series
C-Series,feeds_series,K-Series
C-Series,feeds_series,B-Series
C-Series,feeds_series,T-Series
D-Series,feeds_series,W-Series
D-Series,feeds_series,O-Series
D-Series,feeds_series,L-Series
D-Series,feeds_series,T-Series
D-Series,feeds_series,B-Series
P-Series,feeds_series,C-Series
P-Series,feeds_series,K-Series
K-Series,feeds_series,C-Series
K-Series,feeds_series,P-Series
F-Series,feeds_series,B-Series
F-Series,feeds_series,O-Series
F-Series,feeds_series,T-Series
F-Series,feeds_series,D-Series
Asset-Temperature-sensors-room-flow-return,measured_by_or_feeds,T01
T01,uses_asset,Asset-Temperature-sensors-room-flow-return
Asset-Temperature-sensors-room-flow-return,measured_by_or_feeds,W02
W02,uses_asset,Asset-Temperature-sensors-room-flow-return
Asset-Temperature-sensors-room-flow-return,measured_by_or_feeds,D01
D01,uses_asset,Asset-Temperature-sensors-room-flow-return
Asset-Relative-humidity-sensors,measured_by_or_feeds,W06
W06,uses_asset,Asset-Relative-humidity-sensors
Asset-Relative-humidity-sensors,measured_by_or_feeds,O09
O09,uses_asset,Asset-Relative-humidity-sensors
Asset-Relative-humidity-sensors,measured_by_or_feeds,D01
D01,uses_asset,Asset-Relative-humidity-sensors
Asset-CO-sensors,measured_by_or_feeds,O01
O01,uses_asset,Asset-CO-sensors
Asset-CO-sensors,measured_by_or_feeds,D04
D04,uses_asset,Asset-CO-sensors
Asset-Whole-house-smart-meter,measured_by_or_feeds,L01
L01,uses_asset,Asset-Whole-house-smart-meter
Asset-Whole-house-smart-meter,measured_by_or_feeds,L02
L02,uses_asset,Asset-Whole-house-smart-meter
Asset-Whole-house-smart-meter,measured_by_or_feeds,D05
D05,uses_asset,Asset-Whole-house-smart-meter
Asset-Electrical-submeters,measured_by_or_feeds,L02
L02,uses_asset,Asset-Electrical-submeters
Asset-Electrical-submeters,measured_by_or_feeds,L04
L04,uses_asset,Asset-Electrical-submeters
Asset-Electrical-submeters,measured_by_or_feeds,D05
D05,uses_asset,Asset-Electrical-submeters
Asset-PV-inverter,measured_by_or_feeds,R01
R01,uses_asset,Asset-PV-inverter
Asset-PV-inverter,measured_by_or_feeds,R05
R05,uses_asset,Asset-PV-inverter
Asset-PV-inverter,measured_by_or_feeds,G05
G05,uses_asset,Asset-PV-inverter
Asset-Battery-storage,measured_by_or_feeds,B01
B01,uses_asset,Asset-Battery-storage
Asset-Battery-storage,measured_by_or_feeds,B02
B02,uses_asset,Asset-Battery-storage
Asset-Battery-storage,measured_by_or_feeds,B07
B07,uses_asset,Asset-Battery-storage
Asset-Battery-storage,measured_by_or_feeds,B08
B08,uses_asset,Asset-Battery-storage
Asset-EV-charger-smart-V2G,measured_by_or_feeds,B03
B03,uses_asset,Asset-EV-charger-smart-V2G
Asset-EV-charger-smart-V2G,measured_by_or_feeds,B04
B04,uses_asset,Asset-EV-charger-smart-V2G
Asset-EV-charger-smart-V2G,measured_by_or_feeds,B05
B05,uses_asset,Asset-EV-charger-smart-V2G
Asset-EV-charger-smart-V2G,measured_by_or_feeds,L07
L07,uses_asset,Asset-EV-charger-smart-V2G
Asset-Heat-pump-ASHP-GSHP,measured_by_or_feeds,T02
T02,uses_asset,Asset-Heat-pump-ASHP-GSHP
Asset-Heat-pump-ASHP-GSHP,measured_by_or_feeds,T03
T03,uses_asset,Asset-Heat-pump-ASHP-GSHP
Asset-Heat-pump-ASHP-GSHP,measured_by_or_feeds,L03
L03,uses_asset,Asset-Heat-pump-ASHP-GSHP
Asset-PCM-storage-small-scale,measured_by_or_feeds,T07
T07,uses_asset,Asset-PCM-storage-small-scale
Asset-PCM-storage-small-scale,measured_by_or_feeds,B10
B10,uses_asset,Asset-PCM-storage-small-scale
Asset-Weather-nowcast-ensemble-forecasts,measured_by_or_feeds,W14
W14,uses_asset,Asset-Weather-nowcast-ensemble-forecasts
Asset-Weather-nowcast-ensemble-forecasts,measured_by_or_feeds,W15
W15,uses_asset,Asset-Weather-nowcast-ensemble-forecasts
Asset-Weather-nowcast-ensemble-forecasts,measured_by_or_feeds,W16
W16,uses_asset,Asset-Weather-nowcast-ensemble-forecasts
Asset-Occupant-preferences-override-app,measured_by_or_feeds,O15
O15,uses_asset,Asset-Occupant-preferences-override-app
Asset-Occupant-preferences-override-app,measured_by_or_feeds,O03
O03,uses_asset,Asset-Occupant-preferences-override-app
Asset-Occupant-preferences-override-app,measured_by_or_feeds,C10
C10,uses_asset,Asset-Occupant-preferences-override-app
Asset-Dynamic-tariff-grid-signals,measured_by_or_feeds,M04
M04,uses_asset,Asset-Dynamic-tariff-grid-signals
Asset-Dynamic-tariff-grid-signals,measured_by_or_feeds,M05
M05,uses_asset,Asset-Dynamic-tariff-grid-signals
Asset-Dynamic-tariff-grid-signals,measured_by_or_feeds,O10
O10,uses_asset,Asset-Dynamic-tariff-grid-signals
Asset-Carbon-intensity-signals,measured_by_or_feeds,M08
M08,uses_asset,Asset-Carbon-intensity-signals
Asset-Carbon-intensity-signals,measured_by_or_feeds,K01
K01,uses_asset,Asset-Carbon-intensity-signals
Asset-Carbon-intensity-signals,measured_by_or_feeds,K04
K04,uses_asset,Asset-Carbon-intensity-signals
MLM,has_catalogue_band,BAND-physical
BAND-physical,contains_catalogue,CAT-01
BAND-physical,contains_catalogue,CAT-02
BAND-physical,contains_catalogue,CAT-03
BAND-physical,contains_catalogue,CAT-04
BAND-physical,contains_catalogue,CAT-05
BAND-physical,contains_catalogue,CAT-06
BAND-physical,contains_catalogue,CAT-07
BAND-physical,contains_catalogue,CAT-08
BAND-physical,contains_catalogue,CAT-09
BAND-physical,contains_catalogue,CAT-10
BAND-physical,contains_catalogue,CAT-11
BAND-physical,contains_catalogue,CAT-12
BAND-physical,contains_catalogue,CAT-13
MLM,has_catalogue_band,BAND-actors
BAND-actors,contains_catalogue,CAT-14
BAND-actors,contains_catalogue,CAT-15
BAND-actors,contains_catalogue,CAT-16
BAND-actors,contains_catalogue,CAT-17
BAND-actors,contains_catalogue,CAT-18
MLM,has_catalogue_band,BAND-markets
BAND-markets,contains_catalogue,CAT-19
BAND-markets,contains_catalogue,CAT-20
BAND-markets,contains_catalogue,CAT-21
BAND-markets,contains_catalogue,CAT-22
BAND-markets,contains_catalogue,CAT-23
BAND-markets,contains_catalogue,CAT-24
BAND-markets,contains_catalogue,CAT-25
BAND-markets,contains_catalogue,CAT-26
BAND-markets,contains_catalogue,CAT-27
BAND-markets,contains_catalogue,CAT-28
MLM,has_catalogue_band,BAND-flexibility
BAND-flexibility,contains_catalogue,CAT-29
BAND-flexibility,contains_catalogue,CAT-30
BAND-flexibility,contains_catalogue,CAT-31
BAND-flexibility,contains_catalogue,CAT-32
BAND-flexibility,contains_catalogue,CAT-33
BAND-flexibility,contains_catalogue,CAT-34
BAND-flexibility,contains_catalogue,CAT-35
BAND-flexibility,contains_catalogue,CAT-36
BAND-flexibility,contains_catalogue,CAT-37
MLM,has_catalogue_band,BAND-data
BAND-data,contains_catalogue,CAT-38
BAND-data,contains_catalogue,CAT-39
BAND-data,contains_catalogue,CAT-40
BAND-data,contains_catalogue,CAT-41
BAND-data,contains_catalogue,CAT-42
BAND-data,contains_catalogue,CAT-43
MLM,has_catalogue_band,BAND-models
BAND-models,contains_catalogue,CAT-44
BAND-models,contains_catalogue,CAT-45
BAND-models,contains_catalogue,CAT-46
BAND-models,contains_catalogue,CAT-47
BAND-models,contains_catalogue,CAT-48
BAND-models,contains_catalogue,CAT-49
BAND-models,contains_catalogue,CAT-50
BAND-models,contains_catalogue,CAT-51
MLM,has_catalogue_band,BAND-response_derivative
BAND-response_derivative,contains_catalogue,CAT-52
BAND-response_derivative,contains_catalogue,CAT-53
BAND-response_derivative,contains_catalogue,CAT-54
BAND-response_derivative,contains_catalogue,CAT-55
BAND-response_derivative,contains_catalogue,CAT-56
MLM,has_catalogue_band,BAND-decision
BAND-decision,contains_catalogue,CAT-57
BAND-decision,contains_catalogue,CAT-58
BAND-decision,contains_catalogue,CAT-59
BAND-decision,contains_catalogue,CAT-60
BAND-decision,contains_catalogue,CAT-61
BAND-decision,contains_catalogue,CAT-62
BAND-decision,contains_catalogue,CAT-63
BAND-decision,contains_catalogue,CAT-64
MLM,has_catalogue_band,BAND-rl_agents
BAND-rl_agents,contains_catalogue,CAT-65
BAND-rl_agents,contains_catalogue,CAT-66
BAND-rl_agents,contains_catalogue,CAT-67
BAND-rl_agents,contains_catalogue,CAT-68
BAND-rl_agents,contains_catalogue,CAT-69
BAND-rl_agents,contains_catalogue,CAT-70
BAND-rl_agents,contains_catalogue,CAT-71
BAND-rl_agents,contains_catalogue,CAT-72
MLM,has_catalogue_band,BAND-applications
BAND-applications,contains_catalogue,CAT-73
BAND-applications,contains_catalogue,CAT-74
BAND-applications,contains_catalogue,CAT-75
BAND-applications,contains_catalogue,CAT-76
BAND-applications,contains_catalogue,CAT-77
BAND-applications,contains_catalogue,CAT-78
MLM,has_catalogue_band,BAND-semantics
BAND-semantics,contains_catalogue,CAT-79
BAND-semantics,contains_catalogue,CAT-80
BAND-semantics,contains_catalogue,CAT-81
BAND-semantics,contains_catalogue,CAT-82
BAND-semantics,contains_catalogue,CAT-83
BAND-semantics,contains_catalogue,CAT-84
BAND-semantics,contains_catalogue,CAT-85
MLM,has_catalogue_band,BAND-governance
BAND-governance,contains_catalogue,CAT-86
BAND-governance,contains_catalogue,CAT-87
BAND-governance,contains_catalogue,CAT-88
BAND-governance,contains_catalogue,CAT-89
BAND-governance,contains_catalogue,CAT-90
BAND-governance,contains_catalogue,CAT-91
BAND-governance,contains_catalogue,CAT-92
BAND-governance,contains_catalogue,CAT-93
BAND-governance,contains_catalogue,CAT-94
CAT-33,depends_on,CAT-01
CAT-33,depends_on,CAT-02
CAT-33,depends_on,CAT-04
CAT-33,depends_on,CAT-05
CAT-33,depends_on,CAT-07
CAT-33,depends_on,CAT-10
CAT-33,depends_on,CAT-11
CAT-33,depends_on,CAT-32
CAT-33,used_by,CAT-32
CAT-33,used_by,CAT-35
CAT-33,used_by,CAT-37
CAT-33,used_by,CAT-43
CAT-33,used_by,CAT-44
CAT-33,used_by,CAT-57
CAT-33,used_by,CAT-73
CAT-34,depends_on,CAT-11
CAT-34,depends_on,CAT-13
CAT-34,depends_on,CAT-16
CAT-34,depends_on,CAT-29
CAT-34,depends_on,CAT-31
CAT-34,depends_on,CAT-32
CAT-34,used_by,CAT-35
CAT-34,used_by,CAT-36
CAT-34,used_by,CAT-37
CAT-34,used_by,CAT-73
CAT-34,used_by,CAT-76
CAT-35,depends_on,CAT-02
CAT-35,depends_on,CAT-11
CAT-35,depends_on,CAT-16
CAT-35,depends_on,CAT-31
CAT-35,depends_on,CAT-32
CAT-35,depends_on,CAT-34
CAT-35,used_by,CAT-36
CAT-35,used_by,CAT-44
CAT-35,used_by,CAT-50
CAT-35,used_by,CAT-60
CAT-35,used_by,CAT-63
CAT-35,used_by,CAT-73
CAT-36,depends_on,CAT-02
CAT-36,depends_on,CAT-04
CAT-36,depends_on,CAT-10
CAT-36,depends_on,CAT-11
CAT-36,depends_on,CAT-34
CAT-36,depends_on,CAT-35
CAT-36,used_by,CAT-37
CAT-36,used_by,CAT-38
CAT-36,used_by,CAT-40
CAT-36,used_by,CAT-52
CAT-36,used_by,CAT-60
CAT-36,used_by,CAT-63
CAT-36,used_by,CAT-76
CAT-37,depends_on,CAT-09
CAT-37,depends_on,CAT-13
CAT-37,depends_on,CAT-15
CAT-37,depends_on,CAT-20
CAT-37,depends_on,CAT-34
CAT-37,depends_on,CAT-36
CAT-37,used_by,CAT-38
CAT-37,used_by,CAT-39
CAT-37,used_by,CAT-40
CAT-37,used_by,CAT-42
CAT-37,used_by,CAT-43
CAT-38,depends_on,CAT-09
CAT-38,depends_on,CAT-19
CAT-38,depends_on,CAT-36
CAT-38,depends_on,CAT-37
CAT-38,used_by,CAT-39
CAT-38,used_by,CAT-40
CAT-38,used_by,CAT-41
CAT-38,used_by,CAT-43
CAT-38,used_by,CAT-44
CAT-39,depends_on,CAT-15
CAT-39,depends_on,CAT-16
CAT-39,depends_on,CAT-37
CAT-39,depends_on,CAT-38
CAT-39,used_by,CAT-40
CAT-39,used_by,CAT-41
CAT-39,used_by,CAT-42
CAT-39,used_by,CAT-43
CAT-39,used_by,CAT-44
CAT-39,used_by,CAT-79
CAT-39,used_by,CAT-80
CAT-40,depends_on,CAT-09
CAT-40,depends_on,CAT-11
CAT-40,depends_on,CAT-36
CAT-40,depends_on,CAT-37
CAT-40,depends_on,CAT-38
CAT-40,depends_on,CAT-39
CAT-40,used_by,CAT-41
CAT-40,used_by,CAT-43
CAT-40,used_by,CAT-44
CAT-40,used_by,CAT-47
CAT-40,used_by,CAT-50
CAT-40,used_by,CAT-52
CAT-40,used_by,CAT-57
CAT-41,depends_on,CAT-09
CAT-41,depends_on,CAT-21
CAT-41,depends_on,CAT-28
CAT-41,depends_on,CAT-38
CAT-41,depends_on,CAT-39
CAT-41,depends_on,CAT-40
CAT-41,used_by,CAT-44
CAT-41,used_by,CAT-46
CAT-41,used_by,CAT-50
CAT-41,used_by,CAT-52
CAT-41,used_by,CAT-66
CAT-41,used_by,CAT-70
CAT-42,depends_on,CAT-07
CAT-42,depends_on,CAT-09
CAT-42,depends_on,CAT-13
CAT-42,depends_on,CAT-20
CAT-42,depends_on,CAT-37
CAT-42,depends_on,CAT-38
CAT-42,depends_on,CAT-39
CAT-42,depends_on,CAT-40
CAT-42,used_by,CAT-20
CAT-42,used_by,CAT-31
CAT-42,used_by,CAT-43
CAT-42,used_by,CAT-44
CAT-42,used_by,CAT-47
CAT-42,used_by,CAT-50
CAT-42,used_by,CAT-89
CAT-43,depends_on,CAT-16
CAT-43,depends_on,CAT-37
CAT-43,depends_on,CAT-38
CAT-43,depends_on,CAT-39
CAT-43,depends_on,CAT-40
CAT-43,depends_on,CAT-41
CAT-43,depends_on,CAT-42
CAT-43,used_by,CAT-44
CAT-43,used_by,CAT-46
CAT-43,used_by,CAT-47
CAT-43,used_by,CAT-50
CAT-43,used_by,CAT-52
CAT-43,used_by,CAT-75
CAT-43,used_by,CAT-77
CAT-44,depends_on,CAT-01
CAT-44,depends_on,CAT-38
CAT-44,depends_on,CAT-39
CAT-44,depends_on,CAT-40
CAT-44,depends_on,CAT-41
CAT-44,depends_on,CAT-42
CAT-44,depends_on,CAT-43
CAT-44,used_by,CAT-45
CAT-44,used_by,CAT-46
CAT-44,used_by,CAT-47
CAT-44,used_by,CAT-48
CAT-44,used_by,CAT-49
CAT-44,used_by,CAT-50
CAT-44,used_by,CAT-51
CAT-44,used_by,CAT-52
CAT-44,used_by,CAT-60
CAT-44,used_by,CAT-66
CAT-44,used_by,CAT-70
CAT-45,depends_on,CAT-44
CAT-45,used_by,CAT-44
CAT-45,used_by,CAT-46
CAT-45,used_by,CAT-48
CAT-45,used_by,CAT-49
CAT-45,used_by,CAT-50
CAT-45,used_by,CAT-66
CAT-45,used_by,CAT-70
CAT-46,depends_on,CAT-38
CAT-46,depends_on,CAT-41
CAT-46,depends_on,CAT-44
CAT-46,depends_on,CAT-45
CAT-46,used_by,CAT-22
CAT-46,used_by,CAT-25
CAT-46,used_by,CAT-27
CAT-46,used_by,CAT-52
CAT-46,used_by,CAT-57
CAT-46,used_by,CAT-60
CAT-46,used_by,CAT-75
CAT-47,depends_on,CAT-40
CAT-47,depends_on,CAT-41
CAT-47,depends_on,CAT-42
CAT-47,depends_on,CAT-43
CAT-47,depends_on,CAT-44
CAT-47,depends_on,CAT-45
CAT-47,depends_on,CAT-46
CAT-47,used_by,CAT-32
CAT-47,used_by,CAT-44
CAT-47,used_by,CAT-50
CAT-47,used_by,CAT-51
CAT-47,used_by,CAT-52
CAT-47,used_by,CAT-60
CAT-48,depends_on,CAT-43
CAT-48,depends_on,CAT-44
CAT-48,depends_on,CAT-45
CAT-48,used_by,CAT-44
CAT-48,used_by,CAT-47
CAT-48,used_by,CAT-50
CAT-48,used_by,CAT-51
CAT-49,depends_on,CAT-41
CAT-49,depends_on,CAT-44
CAT-49,depends_on,CAT-45
CAT-49,depends_on,CAT-47
CAT-49,used_by,CAT-60
CAT-49,used_by,CAT-70
CAT-49,used_by,CAT-75
CAT-49,used_by,CAT-77
CAT-49,used_by,CAT-93
CAT-50,depends_on,CAT-31
CAT-50,depends_on,CAT-41
CAT-50,depends_on,CAT-42
CAT-50,depends_on,CAT-43
CAT-50,depends_on,CAT-44
CAT-50,depends_on,CAT-45
CAT-50,depends_on,CAT-48
CAT-50,used_by,CAT-44
CAT-50,used_by,CAT-47
CAT-50,used_by,CAT-51
CAT-50,used_by,CAT-66
CAT-51,depends_on,CAT-43
CAT-51,depends_on,CAT-44
CAT-51,depends_on,CAT-47
CAT-51,depends_on,CAT-48
CAT-51,depends_on,CAT-50
CAT-51,used_by,CAT-44
CAT-51,used_by,CAT-45
CAT-51,used_by,CAT-46
CAT-51,used_by,CAT-70
CAT-51,used_by,CAT-77
CAT-52,depends_on,CAT-01
CAT-52,depends_on,CAT-03
CAT-52,depends_on,CAT-05
CAT-52,depends_on,CAT-07
CAT-52,depends_on,CAT-11
CAT-52,depends_on,CAT-30
CAT-52,depends_on,CAT-36
CAT-52,depends_on,CAT-38
CAT-52,depends_on,CAT-40
CAT-52,depends_on,CAT-44
CAT-52,depends_on,CAT-47
CAT-52,depends_on,CAT-51
CAT-52,depends_on,CAT-56
CAT-52,used_by,CAT-22
CAT-52,used_by,CAT-25
CAT-52,used_by,CAT-27
CAT-52,used_by,CAT-29
CAT-52,used_by,CAT-53
CAT-52,used_by,CAT-55
CAT-52,used_by,CAT-60
CAT-52,used_by,CAT-66
CAT-53,depends_on,CAT-03
CAT-53,depends_on,CAT-36
CAT-53,depends_on,CAT-38
CAT-53,depends_on,CAT-40
CAT-53,depends_on,CAT-56
CAT-53,used_by,CAT-47
CAT-53,used_by,CAT-52
CAT-53,used_by,CAT-55
CAT-53,used_by,CAT-66
CAT-53,used_by,CAT-70
CAT-54,depends_on,CAT-38
CAT-54,depends_on,CAT-41
CAT-54,depends_on,CAT-44
CAT-54,depends_on,CAT-47
CAT-54,used_by,CAT-44
CAT-54,used_by,CAT-49
CAT-54,used_by,CAT-52
CAT-54,used_by,CAT-58
CAT-54,used_by,CAT-60
CAT-54,used_by,CAT-70
CAT-54,used_by,CAT-89
CAT-55,depends_on,CAT-01
CAT-55,depends_on,CAT-30
CAT-55,depends_on,CAT-52
CAT-55,depends_on,CAT-53
CAT-55,used_by,CAT-22
CAT-55,used_by,CAT-25
CAT-55,used_by,CAT-29
CAT-55,used_by,CAT-60
CAT-55,used_by,CAT-66
CAT-55,used_by,CAT-70
CAT-56,depends_on,CAT-23
CAT-56,depends_on,CAT-24
CAT-56,depends_on,CAT-26
CAT-56,depends_on,CAT-29
CAT-56,depends_on,CAT-30
CAT-56,depends_on,CAT-34
CAT-56,depends_on,CAT-35
CAT-56,depends_on,CAT-36
CAT-56,used_by,CAT-27
CAT-56,used_by,CAT-52
CAT-56,used_by,CAT-53
CAT-56,used_by,CAT-55
CAT-56,used_by,CAT-66
CAT-57,depends_on,CAT-01
CAT-57,depends_on,CAT-06
CAT-57,depends_on,CAT-12
CAT-57,depends_on,CAT-38
CAT-57,depends_on,CAT-40
CAT-57,depends_on,CAT-41
CAT-57,depends_on,CAT-43
CAT-57,depends_on,CAT-51
CAT-57,depends_on,CAT-52
CAT-57,depends_on,CAT-65
CAT-57,used_by,CAT-58
CAT-57,used_by,CAT-60
CAT-57,used_by,CAT-67
CAT-57,used_by,CAT-75
CAT-57,used_by,CAT-77
CAT-57,used_by,CAT-91
CAT-58,depends_on,CAT-21
CAT-58,depends_on,CAT-28
CAT-58,depends_on,CAT-57
CAT-58,depends_on,CAT-59
CAT-58,used_by,CAT-12
CAT-58,used_by,CAT-44
CAT-58,used_by,CAT-60
CAT-58,used_by,CAT-62
CAT-58,used_by,CAT-66
CAT-58,used_by,CAT-67
CAT-59,depends_on,CAT-04
CAT-59,depends_on,CAT-11
CAT-59,depends_on,CAT-13
CAT-59,depends_on,CAT-20
CAT-59,depends_on,CAT-23
CAT-59,depends_on,CAT-29
CAT-59,depends_on,CAT-30
CAT-59,depends_on,CAT-36
CAT-59,depends_on,CAT-92
CAT-59,used_by,CAT-12
CAT-59,used_by,CAT-44
CAT-59,used_by,CAT-58
CAT-59,used_by,CAT-60
CAT-59,used_by,CAT-61
CAT-59,used_by,CAT-62
CAT-59,used_by,CAT-66
CAT-59,used_by,CAT-68
CAT-60,depends_on,CAT-44
CAT-60,depends_on,CAT-46
CAT-60,depends_on,CAT-47
CAT-60,depends_on,CAT-49
CAT-60,depends_on,CAT-52
CAT-60,depends_on,CAT-55
CAT-60,depends_on,CAT-57
CAT-60,depends_on,CAT-58
CAT-60,depends_on,CAT-59
CAT-60,used_by,CAT-61
CAT-60,used_by,CAT-62
CAT-60,used_by,CAT-63
CAT-60,used_by,CAT-64
CAT-60,used_by,CAT-66
CAT-60,used_by,CAT-70
CAT-61,depends_on,CAT-04
CAT-61,depends_on,CAT-11
CAT-61,depends_on,CAT-34
CAT-61,depends_on,CAT-35
CAT-61,depends_on,CAT-36
CAT-61,depends_on,CAT-59
CAT-61,depends_on,CAT-60
CAT-61,used_by,CAT-53
CAT-61,used_by,CAT-56
CAT-61,used_by,CAT-62
CAT-61,used_by,CAT-63
CAT-61,used_by,CAT-64
CAT-62,depends_on,CAT-11
CAT-62,depends_on,CAT-24
CAT-62,depends_on,CAT-35
CAT-62,depends_on,CAT-44
CAT-62,depends_on,CAT-58
CAT-62,depends_on,CAT-59
CAT-62,depends_on,CAT-60
CAT-62,depends_on,CAT-61
CAT-62,depends_on,CAT-66
CAT-62,used_by,CAT-32
CAT-62,used_by,CAT-53
CAT-62,used_by,CAT-63
CAT-62,used_by,CAT-70
CAT-63,depends_on,CAT-34
CAT-63,depends_on,CAT-35
CAT-63,depends_on,CAT-37
CAT-63,depends_on,CAT-40
CAT-63,depends_on,CAT-59
CAT-63,depends_on,CAT-60
CAT-63,depends_on,CAT-61
CAT-63,depends_on,CAT-62
CAT-63,used_by,CAT-56
CAT-63,used_by,CAT-64
CAT-63,used_by,CAT-70
CAT-63,used_by,CAT-76
CAT-64,depends_on,CAT-16
CAT-64,depends_on,CAT-17
CAT-64,depends_on,CAT-60
CAT-64,depends_on,CAT-61
CAT-64,depends_on,CAT-63
CAT-64,used_by,CAT-27
CAT-64,used_by,CAT-47
CAT-64,used_by,CAT-75
CAT-64,used_by,CAT-76
CAT-64,used_by,CAT-93
CAT-65,depends_on,CAT-01
CAT-65,depends_on,CAT-06
CAT-65,depends_on,CAT-08
CAT-65,depends_on,CAT-12
CAT-65,depends_on,CAT-38
CAT-65,depends_on,CAT-43
CAT-65,depends_on,CAT-51
CAT-65,depends_on,CAT-57
CAT-65,used_by,CAT-57
CAT-65,used_by,CAT-60
CAT-65,used_by,CAT-75
CAT-65,used_by,CAT-77
CAT-65,used_by,CAT-89
CAT-65,used_by,CAT-91
CAT-66,depends_on,CAT-13
CAT-66,depends_on,CAT-32
CAT-66,depends_on,CAT-42
CAT-66,depends_on,CAT-44
CAT-66,depends_on,CAT-45
CAT-66,depends_on,CAT-50
CAT-66,depends_on,CAT-56
CAT-66,depends_on,CAT-58
CAT-66,depends_on,CAT-59
CAT-66,depends_on,CAT-67
CAT-66,depends_on,CAT-68
CAT-66,depends_on,CAT-69
CAT-66,used_by,CAT-60
CAT-66,used_by,CAT-62
CAT-66,used_by,CAT-71
CAT-66,used_by,CAT-72
CAT-67,depends_on,CAT-21
CAT-67,depends_on,CAT-27
CAT-67,depends_on,CAT-28
CAT-67,depends_on,CAT-53
CAT-67,depends_on,CAT-57
CAT-67,depends_on,CAT-58
CAT-67,used_by,CAT-60
CAT-67,used_by,CAT-66
CAT-67,used_by,CAT-68
CAT-67,used_by,CAT-71
CAT-67,used_by,CAT-72
CAT-68,depends_on,CAT-11
CAT-68,depends_on,CAT-23
CAT-68,depends_on,CAT-27
CAT-68,depends_on,CAT-53
CAT-68,depends_on,CAT-57
CAT-68,depends_on,CAT-58
CAT-68,depends_on,CAT-59
CAT-68,used_by,CAT-60
